prefecture,capacity_kw,plant_count,min_kw,source
福島県,2754102.8,379,1000.0,FIT/FIP publicinfo
茨城県,2033383.8,727,1000.0,FIT/FIP publicinfo
宮城県,1915068.1,339,1000.0,FIT/FIP publicinfo
栃木県,1637393.3,455,1000.0,FIT/FIP publicinfo
北海道,1539629.1,460,1000.0,FIT/FIP publicinfo
三重県,1448191.8,392,1000.0,FIT/FIP publicinfo
千葉県,1367052.7,557,1000.0,FIT/FIP publicinfo
岡山県,1335987.8,230,1000.0,FIT/FIP publicinfo
兵庫県,1312481.5,432,1000.0,FIT/FIP publicinfo
鹿児島県,1227525.4,397,1000.0,FIT/FIP publicinfo
福岡県,1067441.4,425,1000.0,FIT/FIP publicinfo
群馬県,1005520.4,324,1000.0,FIT/FIP publicinfo
熊本県,1001203.1,257,1000.0,FIT/FIP publicinfo
山口県,974117.3,222,1000.0,FIT/FIP publicinfo
大分県,892232.4,180,1000.0,FIT/FIP publicinfo
岩手県,833055.7,178,1000.0,FIT/FIP publicinfo
長崎県,751825.0,167,1000.0,FIT/FIP publicinfo
宮崎県,743555.3,188,1000.0,FIT/FIP publicinfo
静岡県,722276.0,264,1000.0,FIT/FIP publicinfo
青森県,721758.1,153,1000.0,FIT/FIP publicinfo
愛知県,573300.0,191,1000.0,FIT/FIP publicinfo
広島県,563415.0,181,1000.0,FIT/FIP publicinfo
長野県,455341.0,156,1000.0,FIT/FIP publicinfo
和歌山県,408265.6,63,1000.0,FIT/FIP publicinfo
岐阜県,400854.0,158,1000.0,FIT/FIP publicinfo
石川県,376433.4,101,1000.0,FIT/FIP publicinfo
埼玉県,356167.2,207,1000.0,FIT/FIP publicinfo
愛媛県,287954.7,106,1000.0,FIT/FIP publicinfo
香川県,285308.8,137,1000.0,FIT/FIP publicinfo
新潟県,280191.6,67,1000.0,FIT/FIP publicinfo
滋賀県,275480.2,127,1000.0,FIT/FIP publicinfo
大阪府,252067.8,113,1000.0,FIT/FIP publicinfo
島根県,228091.0,80,1000.0,FIT/FIP publicinfo
高知県,225562.5,90,1000.0,FIT/FIP publicinfo
鳥取県,224882.8,63,1000.0,FIT/FIP publicinfo
京都府,210439.1,83,1000.0,FIT/FIP publicinfo
秋田県,199643.1,70,1000.0,FIT/FIP publicinfo
山形県,196700.7,60,1000.0,FIT/FIP publicinfo
山梨県,183984.7,77,1000.0,FIT/FIP publicinfo
佐賀県,172090.2,93,1000.0,FIT/FIP publicinfo
奈良県,171868.4,60,1000.0,FIT/FIP publicinfo
徳島県,154718.3,90,1000.0,FIT/FIP publicinfo
神奈川県,137813.7,68,1000.0,FIT/FIP publicinfo
富山県,110174.9,61,1000.0,FIT/FIP publicinfo
福井県,102127.6,55,1000.0,FIT/FIP publicinfo
沖縄県,50587.9,21,1000.0,FIT/FIP publicinfo
東京都,22481.3,14,1000.0,FIT/FIP publicinfo
