prefecture,capacity_kw,sheet,source_file,facility_id,address,latitude,longitude,matched_address
北海道,5010.0,認定設備,北海道.xlsx,A000107A01,北海道稚内市大字声問村766‐1,45.299824,141.834915,北海道稚内市声問村
北海道,1999.2,認定設備,北海道.xlsx,A513899A01,北海道帯広市愛国町基線26-12他,42.852631,143.202896,北海道帯広市愛国町基線
北海道,1000.0,認定設備,北海道.xlsx,A513900A01,北海道紋別市元紋別3-43-1,44.312305,143.38031,北海道紋別市元紋別
北海道,1000.0,認定設備,北海道.xlsx,A513903A01,北海道勇払郡安平町遠浅691-3,42.728008,141.768555,北海道安平町遠浅６９１番地
北海道,30000.0,認定設備,北海道.xlsx,A513904A01,北海道白糠郡白糠町庶路甲区6-1181,42.993248,144.157822,北海道白糠町庶路甲区
北海道,1500.0,認定設備,北海道.xlsx,A513907A01,北海道中川郡池田町清見133-1,42.928188,143.467377,北海道池田町清見１３３番地
北海道,1500.0,認定設備,北海道.xlsx,A513908A01,北海道中川郡本別町弥生町63-8,43.125221,143.594162,北海道本別町弥生町
北海道,1500.0,認定設備,北海道.xlsx,A513913A01,北海道北見市常呂町字東浜86-1,44.11837,144.094254,北海道北見市常呂町東浜
北海道,1500.0,認定設備,北海道.xlsx,A513914A01,北海道紋別郡湧別町上湧別屯田市街地402,44.147461,143.581879,北海道湧別町上湧別屯田市街地
北海道,1987.0,認定設備,北海道.xlsx,A513915A01,北海道中川郡池田町字清見268-1,42.931816,143.46936,北海道池田町清見
北海道,1000.0,認定設備,北海道.xlsx,A513917A01,北海道勇払郡厚真町字豊沢481-60,42.700428,141.887604,北海道厚真町豊沢４８１番地
北海道,1000.0,認定設備,北海道.xlsx,A513918A01,北海道中川郡幕別町千住249,42.907425,143.289749,北海道幕別町千住
北海道,1250.0,認定設備,北海道.xlsx,A513952A01,北海道網走市能取港町4-5,44.037941,144.186478,北海道網走市能取港町四丁目
北海道,1990.0,認定設備,北海道.xlsx,A514769A01,北海道苫小牧市柏原39-7,42.677711,141.760132,北海道苫小牧市柏原
北海道,1990.0,認定設備,北海道.xlsx,A514770A01,北海道苫小牧市柏原23-8,42.677711,141.760132,北海道苫小牧市柏原
北海道,1477.9,認定設備,北海道.xlsx,A514772A01,北海道中川郡幕別町明野209‐1,42.903774,143.388687,北海道幕別町明野
北海道,8000.0,認定設備,北海道.xlsx,A514991A01,北海道標津郡標津町字川北2774-1,43.692074,144.978592,北海道標津町川北
北海道,15000.0,認定設備,北海道.xlsx,A515293A01,北海道白老郡白老町緑町703-2他,42.561798,141.335526,北海道白老町緑町７０３番地
北海道,1477.0,認定設備,北海道.xlsx,A515969A01,北海道釧路市星が浦南5-1-30,43.006584,144.314621,北海道釧路市星が浦南五丁目１番
北海道,1500.0,認定設備,北海道.xlsx,A515970A01,北海道河西郡中札内村常盤西1線251-1,42.673595,143.116013,北海道中札内村常盤西一線
北海道,19000.0,認定設備,北海道.xlsx,A515982A01,北海道苫小牧市勇払152及び148,42.655487,141.6754,北海道苫小牧市勇払１５２番地
北海道,1990.0,認定設備,北海道.xlsx,A515983A01,北海道札幌市東区丘珠町501-2,43.108429,141.409439,北海道札幌市東区丘珠町５０１番地
北海道,1000.0,認定設備,北海道.xlsx,A515984A01,北海道網走郡美幌町美芳11-26,43.832214,144.114426,北海道美幌町美芳１１番地
北海道,1500.0,認定設備,北海道.xlsx,A515985A01,北海道北見市美園893,43.801575,143.776566,北海道北見市美園
北海道,1000.0,認定設備,北海道.xlsx,A515991A01,北海道帯広市南町6線48-1,42.892212,143.164505,北海道帯広市南町
北海道,1000.0,認定設備,北海道.xlsx,A515993A01,北海道苫小牧市植苗96-5,42.711788,141.742462,北海道苫小牧市植苗９６番地
北海道,20000.0,認定設備,北海道.xlsx,A515995A01,北海道釧路市音別町中音別40,42.943493,143.933945,北海道釧路市音別町中音別
北海道,79000.0,認定設備,北海道.xlsx,A516189A01,北海道勇払郡安平町遠浅779-11,42.727524,141.77681,北海道安平町遠浅
北海道,1001.4,認定設備,北海道.xlsx,A516198A01,北海道浦河郡浦河町字東栄30-1,42.20116,142.706573,北海道浦河町東栄
北海道,1750.0,認定設備,北海道.xlsx,A516201A01,北海道北見市留辺蘂町旭3区197-138,43.787567,143.599182,北海道北見市留辺蘂町旭三区１９７番地
北海道,1495.0,認定設備,北海道.xlsx,A516350A01,北海道中川郡幕別町43-1他,42.908627,143.356094,北海道中川郡幕別町
北海道,12000.0,認定設備,北海道.xlsx,A516353A01,北海道勇払郡むかわ町二宮275-7,42.630432,141.954956,北海道むかわ町二宮
北海道,1500.0,認定設備,北海道.xlsx,A516841A01,北海道江別市八幡122,43.160431,141.456329,北海道江別市八幡１２２番地
北海道,38000.0,認定設備,北海道.xlsx,A516845A01,北海道苫小牧市字柏原53-1,42.677711,141.760132,北海道苫小牧市柏原
北海道,1000.0,認定設備,北海道.xlsx,A516848A01,北海道苫小牧市あけぼの町3-9-1737,42.67178,141.651459,北海道苫小牧市あけぼの町三丁目
